Old Ref ID,Ref ID,Record Last Updated (dd/mm/yyyy),Operator (or Applicant),Site Name,Technology Type,Installed Capacity (MWelec),CHP Enabled,RO Banding (ROC/MWh),FiT Tariff (p/kWh),CfD Capacity (MW),Turbine Capacity (MW),No. of Turbines,Height of Turbines (m),Mounting Type for Solar,Development Status,Development Status (short),Address,County,Region,Country,Post Code,X-coordinate,Y-coordinate,Planning Authority,Planning Application Reference,Appeal Reference,Secretary of State Reference,Type of Secretary of State Intervention,Judicial Review,Offshore Wind Round,Planning Application Submitted,Planning Application Withdrawn,Planning Permission Refused,Appeal Lodged,Appeal Withdrawn,Appeal Refused,Appeal Granted,Planning Permission Granted,Secretary of State - Intervened,Secretary of State - Refusal,Secretary of State - Granted,Planning Permission Expired,Under Construction,Operational
AA908,1597,24/07/2017,Ms Power Projects Ltd,Clawddcam-Mathry Solar Farm,Solar Photovoltaics,7.5,n/a,,,,n/a,n/a,n/a,,Planning Permission Granted,Awaiting Construction,Haverfordwest,Dyfed,Wales,Wales,SA62 5HY,"187,717","228,957",Pembrokeshire County Council,12/0162/PA,,,,,,31/05/2012,,,,,,,16/12/2013,,,,,,
AA909,1598,22/05/2014,Rudbaxton Solar Park Limited,Rudbaxton Solar Park,Solar Photovoltaics,10.8,n/a,,,,n/a,n/a,n/a,,Operational,Operational,"Withyhedge Landfill Site, RUDBAXTON, Haverfordwest, SA62 4DB",Dyfed,Wales,Wales,,"196,753","220,959",Pembrokeshire County Council,11/1056/PA,,,,,,02/02/2012,,,,,,,27/07/2012,,,,,,08/03/2014
B0318,1612,25/10/2012,Wrexham Council,Wrexham Social Housing PV,Solar Photovoltaics,5.4,n/a,,,,n/a,n/a,n/a,,Operational,Operational,Wrexham,Clwyd,Wales,Wales,,"333,726","349,750",Wrexham County Borough Council,,,,,,,,,,,,,,,,,,,01/03/2012,01/08/2012
C0264,1623,29/01/2014,Arqiva Ltd,AMBLESTON SOLAR PANELS,Solar Photovoltaics,6,n/a,,,,n/a,n/a,n/a,,Operational,Operational,"Television Transmitter Centre, Ambleston, Haverfordwest, Dyfed, SA61",Dyfed,Wales,Wales,,"202,885","226,177",Pembrokeshire County Council,11/0104/PA,,,,,,16/06/2011,,,,,,,11/08/2011,,,,,24/10/2011,25/01/2012
C0647,1634,29/09/2015,Milford Haven Port Authority,Liddeston Ridge Solar Park (Milford Haven),Solar Photovoltaics,5,n/a,,,,n/a,n/a,n/a,,Operational,Operational,"The S/E/O Court Road, Liddeston, Milford Haven, Dyfed",Dyfed,Wales,Wales,SA73 3QD,"189,837","206,570",Pembrokeshire County Council,12/0614/PA,,,,,,02/10/2012,,,,,,,24/01/2013,,,,,13/11/2013,31/03/2014
C1147,1661,22/12/2015,Lightsource Renewable Energy,Langton Farm Solar park,Solar Photovoltaics,4.4,n/a,,,,n/a,n/a,n/a,,Operational,Operational,"Land west of Langton Farm, Dwrbach, Fishguard, Pembrokeshire",Dyfed,Wales,Wales,,"194,473","233,813",Pembrokeshire County Council,12/1160/PA,,,,,,18/03/2013,,,,,,,19/11/2013,,,,,28/10/2015,03/12/2015
C1224,1668,08/10/2013,Lightsource Renewable Energy,Treguff Farm Solar Park,Solar Photovoltaics,4.9,n/a,,,,n/a,n/a,n/a,,Planning Permission Refused,Application Refused,"Treguff Farm, St Mary Church, Cowbridge",South Glamorgan,Wales,Wales,,"302,489","171,132",Vale of Glamorgan Council,2013/00247/FUL,,,,,,22/03/2013,,08/07/2013,,,,,,,,,,,
IF1057,1719,29/09/2015,Munich RE,Caeremlyn Solar Farm,Solar Photovoltaics,18,n/a,,,,n/a,n/a,n/a,,Operational,Operational,"Caermelyn Solar Farm, Land nr Llanlliwe Farm, Hellan Amgoed, Whitland",Dyfed,Wales,Wales, SA34 0SS,"218,627","217,644",Carmarthenshire County Council,W/26672,,,,,,31/05/2012,,,,,,,14/01/2013,,,,,12/02/2014,31/03/2014
IF1308,1746,22/09/2016,3C Energy/Conergy,Manor Farm (Monmouthshire),Solar Photovoltaics,10.5,n/a,,,,n/a,n/a,n/a,,Operational,Operational,"Llanvapley, Monmouthshire",Gwent,Wales,Wales,,"336,338","215,519",Monmouthshire County Council,DC/2013/00006,APP/E6840/A/14/2212987,,,,,07/01/2013,,13/09/2013,04/04/2014,,,24/10/2014,24/10/2014,,,,,18/04/2016,23/06/2016
C1595,1765,27/11/2014,Sunsave,Fenton Home Farm,Solar Photovoltaics,31.3,n/a,,,,n/a,n/a,n/a,Ground,Operational,Operational,"Fenton Home Farm, Crundale, Haverfordwest",Dyfed,Wales,Wales,SA62 4PY,"198,922","217,459",Pembrokeshire County Council,13/0278/PA,,,,,,02/07/2013,,,,,,,05/12/2013,,,,05/12/2018,04/06/2014,12/09/2014
C2688,1774,03/11/2015,Anesco,Oak Cottage,Solar Photovoltaics,4.9,n/a,,,,n/a,n/a,n/a,,Operational,Operational,"Land South of Oak Cottage, Wiston, Haverfordwest, Pembrokeshire, SA62 4PR",Dyfed,Wales,Wales,SA62 4PR,"202,911","217,724",Pembrokeshire County Council,13/0916/PA,,,,,,28/01/2014,,,,,,,13/06/2014,,,,,01/07/2015,21/08/2015
C1193,1781,02/05/2017,Rockfire Capital ,Pen Y Cae solar farm,Solar Photovoltaics,6.9,n/a,,,,n/a,n/a,n/a,,Operational,Operational,"Pen Y Cae, Saron, Ammanford, Dyfed",Dyfed,Wales,Wales,SA18 3BJ,"260,143","211,806",Carmarthenshire County Council,E/28086,,,,,,18/04/2013,,,,,,,19/09/2013,,,,,03/11/2014,26/03/2015
C2816,1787,01/07/2016,Mohammed Khaliq,Seaview Farm,Solar Photovoltaics,1.7,n/a,,,,n/a,n/a,n/a,,Operational,Operational,"Seaview Farm, Pyle Road, Porthcawl",Mid Glamorgan,Wales,Wales,CF36 5TB,"282,372","178,754",Bridgend County Borough Council,P/14/148/FUL,,,,,,05/03/2014,,,,,,,11/06/2014,,,,11/06/2017,01/05/2016,30/03/2016
C3048,1802,28/08/2015,Associated British Ports (ABP),Port of Barry,Solar Photovoltaics,10,n/a,,,,n/a,n/a,n/a,,Abandoned,Abandoned,"Atlantic Way, Port of Barry, Barry",South Glamorgan,Wales,Wales,,"312,810","167,042",Vale of Glamorgan Council,2014/01089/FUL,,,,,,18/09/2014,,,,,,,19/12/2014,,,,19/12/2019,,
C3112,1808,05/10/2015,Pencefnarda Solar,Pencefnarda Uchaf Farm,Solar Photovoltaics,3.6,n/a,,,,n/a,n/a,n/a,,Appeal Refused,Application Refused,"Pencefnarda Uchaf Farm, Pencefnarda Road, Gorseinon, Swansea, West Glamorgan",West Glamorgan,Wales,Wales,SA4 4FY,"258,281","200,175",City and County Council of Swansea,2014/0761,APP/B6855/A/15/3005095,,,,,03/06/2014,,09/02/2015,22/05/2015,,29/09/2015,,,,,,,,
C1596,1823,29/10/2014,Lightsource Renewable Energy,Sutton Mawr Farm,Solar Photovoltaics,7.5,n/a,,,,n/a,n/a,n/a,,Operational,Operational,"Sutton Mawr Farm, Barry, South Glamorgan",South Glamorgan,Wales,Wales,CF62 3AA,"307,823","169,675",Vale of Glamorgan Council,2013/00617/FUL,,,,,,02/07/2013,,,,,,,17/01/2014,,,,,,04/03/2014
C1693,1827,16/06/2015,Next Energy Solar Fund,Llwyn Du Solar Farm,Solar Photovoltaics,8,n/a,,,,n/a,n/a,n/a,,Operational,Operational,"Llwyn Ddu, Blaenporth, Cardigan",Dyfed,Wales,Wales,,"227,279","248,567",Ceredigion County Council,A130555,,,,,,08/07/2013,,,,,,,20/01/2014,,,,,01/09/2014,26/02/2015
C3199,1862,26/05/2017,Lightsource Renewable Energy,Morfa Farm,Solar Photovoltaics,2,n/a,,,,n/a,n/a,n/a,,Operational,Operational,"Morfa Farm, Morfa Lane, Llantwit Major, South Glamorgan",Vale of Glamorgan,Wales,Wales,CF61 2YT,"295,957","170,244",Vale of Glamorgan Council,2015/00782/FUL,,,,,,15/07/2015,,,,,,,20/11/2015,,,,20/11/2020,18/10/2016,19/12/2016
B1067,1877,22/03/2017,Private Landowner,Tylerfedwen Farm Solar Park,Solar Photovoltaics,13.3,n/a,,,,n/a,n/a,n/a,,Planning Permission Granted,Awaiting Construction,"Tylerfedwen Farm, Cwmafan, Port Talbot, West Glamorgan, SA12 9YA",West Glamorgan,Wales,Wales,SA12 9YA,"276,557","193,490",Neath Port Talbot County Borough Council,P2013/1087,,,,,,19/12/2013,,,,,,,22/07/2014,,,,,,
C0261,1895,03/01/2017,Equitix,Garn Solar Farm,Solar Photovoltaics,7.4,n/a,,,,n/a,n/a,n/a,,Operational,Operational,"The Garn Farm, St. Hilary, Cowbridge, South Glamorgan",South Glamorgan,Wales,Wales,CF71 7DP,"303,612","173,658",Vale of Glamorgan Council,2012/01224/FUL,,,,,,16/11/2012,,,,,,,08/02/2013,,,,,,12/05/2014
C1740,1900,03/02/2016,Canadian Solar,Pant-Y-Moch Farm,Solar Photovoltaics,5,n/a,,,,n/a,n/a,n/a,,Operational,Operational,Pantymoch Farm Penycae Port Talbot,West Glamorgan,Wales,Wales,SA14 2UT,"277,876","190,467",Neath Port Talbot County Borough Council,P2014/0567,,,,,,27/06/2014,,,,,,,31/10/2014,,,,31/10/2019,01/11/2015,06/01/2016
C3208,1936,01/08/2014,Walters Group,Mynydd Bwllfa solar farm,Solar Photovoltaics,7.5,n/a,,,,n/a,n/a,n/a,,Planning Application Submitted,Application Submitted,"E/O Mynydd Bwllfa Wind Farm, Aberdare, Mid Glamorgan, CF44",Mid Glamorgan,Wales,Wales,,"296,708","203,386",Rhondda Cynon Taff County Borough Council,14/0466/10,,,,,,11/04/2014,,,,,,,,,,,,,
IF1095,1941,16/02/2017,Novus Solar Developments,Blaen Bowi,Solar Photovoltaics,5.7,n/a,,,,n/a,n/a,n/a,,Planning Permission Granted,Awaiting Construction,"Capel Iwan, Newcastle, Emlyn, Carmarthenshire",Dyfed,Wales,Wales,,"232,248","235,208",Carmarthenshire County Council,W/26003,,,,,,18/01/2012,,,,,,,24/02/2012,,,,,,
B1486,1951,26/08/2014,Elgin Energy EsCo,Clawdd Ddu PV,Solar Photovoltaics,13.5,n/a,,,,n/a,n/a,n/a,,Operational,Operational,"Potardulas Road, Tycroes, Swansea",Dyfed,Wales,Wales,SA18 3RE,"259,473","209,981",Carmarthenshire County Council,S/27987,,,,,,27/03/2013,,,,,,,07/10/2013,,,,,,26/03/2014
B1040,1953,13/04/2015,Anesco,Abergelli Glas Solar Farm,Solar Photovoltaics,9.3,n/a,,,,n/a,n/a,n/a,,Operational,Operational,Land at Abergelli Farm Felindre Swansea,Powys,Wales,Wales,SA5 7NN,"265,507","202,009",City and County Council of Swansea,2013/0135,,,,,,18/02/2013,,,,,,,28/05/2013,,,,,01/11/2014,15/03/2015
C3273,1975,31/05/2017,Good Energy Generation,Brynwhilach solar park,Solar Photovoltaics,12.7,n/a,,,,n/a,n/a,n/a,,Operational,Operational,Land at Brynwhilach Felindre Road Llangyfelach Swansea ,West Glamorgan,Wales,Wales,SA5 7PE,"264,728","200,461",City and County Council of Swansea,2014/1022,,,,,,16/07/2014,,,,,,,04/11/2014,,,,,16/01/2017,16/03/2017
C1243,1982,11/01/2016,Suncredit UK/ Vogt Solar,Court Colman solar park,Solar Photovoltaics,15,n/a,,,,n/a,n/a,n/a,,Operational,Operational,LAND AT COURT COLMAN PENYFAI BRIDGEND,Mid Glamorgan,Wales,Wales,,"287,791","181,659",Bridgend County Borough Council,P/14/337/FUL,,,,,,13/05/2014,,,,,,,24/12/2014,,,,24/12/2019,01/07/2015,15/11/2015
C3012,1985,30/09/2015,Kronos Solar,Cwmcaesingrug Farm,Solar Photovoltaics,10,n/a,,,,n/a,n/a,n/a,,Operational,Operational,Cwmcaesingrug Farm Mynyddislwyn Mountain Road Mynyddislwyn Blackwood NP12 2BG,Mid Glamorgan,Wales,Wales,NP12 2BG,"319,137","193,566",Caerphilly County Borough Council,14/0276/FULL,,,,,,06/05/2014,,,,,,,08/08/2014,,,,,01/01/2015,02/03/2015
C1599,2074,03/02/2015,Good Energy Generation,Tiers Cross Solar Farm,Solar Photovoltaics,24,n/a,,,,n/a,n/a,n/a,,Operational,Operational,"Rose Cottage Farm; Woodson Farm; Tierson Farm, Tiers Cross, Milford Haven, Dyfed",Dyfed,Wales,Wales,SA73 3TN,"190,200","209,976",Pembrokeshire County Council,13/0214/PA,,,,,,24/05/2013,,,,,,,14/10/2013,,,,,19/12/2013,25/10/2014
C2322,2078,04/11/2014,Toyota Motor Manufacturing Ltd  - Graham Hillier - 01244 282027,Toyota Motor Manufacturing Uk - Deeside,Solar Photovoltaics,3.8,n/a,,,,n/a,n/a,n/a,,Operational,Operational,"Toyota Motor Manufacturing Uk, Tenth Avenue, Deeside Industrial Park, Deeside, Clwyd",Clwyd,Wales,Wales,CH5 2TW,"331,682","370,582",Flintshire County Council,51425,,,,,,30/10/2013,,,,,,,19/12/2013,,,,,26/05/2014,26/08/2014
C3240,2079,10/05/2016,Lightsource Renewable Energy,Trench Farm,Solar Photovoltaics,7.2,n/a,,,,n/a,n/a,n/a,,Operational,Operational,"Trench Farm, Red Hall Lane, Penley, Wrexham LL13 0NA",Clwyd,Wales,Wales,,"338,419","339,068",Wrexham County Borough Council,P/2014/0484,,,,,,03/07/2014,,,,,,,05/11/2014,,,,05/11/2019,06/11/2014,30/03/2015
C3287,2093,16/06/2017,Cenin Renewables,Whitton Mawr,Solar Photovoltaics,6,n/a,,,,n/a,n/a,n/a,,Operational,Operational,Land east of Five Mile Lane,South Glamorgan,Wales,Wales,,"308,077","172,202",Vale of Glamorgan Council,2014/00798/FUL,,,,,,18/07/2014,,,,,,,21/11/2014,,,,21/11/2017,15/11/2016,15/05/2017
IF1164,2096,26/08/2014,Caerau Solar IQ,Woden Park,Solar Photovoltaics,5,n/a,,,,n/a,n/a,n/a,,Operational,Operational,"Cwrt Yr Ala Road, Michaelston-Le-Pit, Dinas Powys, South Glamorgan, CF5",South Glamorgan,Wales,Wales,,"313,742","175,059",Vale of Glamorgan Council,2012/01285/FUL,,,,,,06/12/2012,,,,,,,18/03/2013,,,,,,26/03/2014
B0615,2104,01/10/2014,Anesco,Bodorgan Solar Farm,Solar Photovoltaics,12.6,n/a,,,,n/a,n/a,n/a,,Operational,Operational,"Tai Moelion farm near Aberffraw, Anglesey",Isle of Anglesey,Wales,Wales,,"238,717","367,342",Isle of Anglesey County Council,10C114A,,,,,,15/11/2012,,,,,,,09/02/2013,,,,,15/09/2013,20/06/2014
B1208,2106,21/07/2017,Mr. B Stephens,Buckwell Farm Solar Park,Solar Photovoltaics,8.1,n/a,,,,n/a,n/a,n/a,,Planning permission granted,Awaiting Construction,"Buckwell Farm, Pen Y Cae Mawr Usk Monmouthshire",Gwent,Wales,Wales,NP15 1LX,"342,153","196,498",Monmouthshire County Council,DC/2013/00925,,,,,,31/10/2013,,,,,,,06/08/2014,,,,06/08/2019,,
B1367,2110,30/09/2015,Kronos Solar,Parciau Farm Solar Park,Solar Photovoltaics,13.9,n/a,,,,n/a,n/a,n/a,,Operational,Operational,"Parciau Farm, Griffiths Crossing, Caernarfon, Gwynedd",Gwynedd,Wales,Wales,LL55 1TS,"250,255","365,482",Gwynedd Council,C14/0498/20/LL,,,,,,06/06/2014,,,,,,,22/09/2014,,,,,15/11/2014,23/03/2015
C2158,2137,14/05/2015,Lightsource Renewable Energy,Treguff Farm - resubmission,Solar Photovoltaics,4.4,n/a,,,,n/a,n/a,n/a,,Operational,Operational,"Treguff Farm, St. Mary Church, Cowbridge",South Glamorgan,Wales,Wales,CF71 7LT,"302,265","171,141",Vale of Glamorgan Council,2013/00912/FUL,,,,,,24/09/2013,,17/01/2014,,,,12/08/2014,12/08/2014,,,,,28/10/2014,11/02/2015
C2394,2142,06/10/2014,Roger Lewis,Court Farm,Solar Photovoltaics,8.5,n/a,,,,n/a,n/a,n/a,,Planning Permission Refused,Application Refused,"Land Forming Part Of Court Farm, Magor Road, Newport, South Wales",Gwent,Wales,Wales,,"339,241","189,511",Newport City Council,13/1203,,,,,,15/11/2013,,01/10/2014,,,,,,,,,,,
C3070,2176,19/01/2016,KS SPV53 Ltd,Hafod-Y-Dafal Farm,Solar Photovoltaics,14,n/a,,,,n/a,n/a,n/a,,Operational,Operational,"Hafod-Y-Dafal Farm, Aberbeeg, Blaina, Gwent",Gwent,Wales,Wales,NP13 2ER,"320,100","203,640",Blaenau Gwent County Borough Council,C/2014/0126,,,,42012,,16/05/2014,,,,,,,07/11/2014,,,,07/11/2019,15/11/2015,22/12/2015
C3096,2180,03/07/2017,John Laing Environmental Assets (formerly Camborne Capital),Shoals Hook Farm,Solar Photovoltaics,12.1,n/a,,,,n/a,n/a,n/a,,Operational,Operational,"Land east of Shoals Hook Farm, Shoals Hook Lane, Haverfordwest, SA61 2XN",Dyfed,Wales,Wales,SA61 2XN,"197,321","216,854",Pembrokeshire County Council,14/0056/PA,,,,,,06/05/2014,,,,,,,03/10/2014,,,,,01/01/2015,31/03/2015
C3178,2191,07/05/2015,Gower Power Community Cooperative,Webbsfield,Solar Photovoltaics,1,n/a,,,,n/a,n/a,n/a,Ground,Appeal Refused,Application Refused,"Webbsfield, Near Brookvale, Ilston, Swansea, West Glamorgan",West Glamorgan,Wales,Wales,SA2 7LD,"255,683","190,908",City and County Council of Swansea,2014/0876,APP/B6855/A/14/2226732,,,,,18/06/2014,,02/09/2014,19/11/2014,,21/04/2015,,,,,,,,
C3311,2206,16/04/2015,MTS Hill Farm Solar Ltd,Penrhiwarwydd Farm,Solar Photovoltaics,8.5,n/a,,,,n/a,n/a,n/a,,Operational,Operational,Penrhiwarwydd Farm Mynyddislwyn Mountain Road Mynyddislwyn Newport NP11 7BB,Mid Glamorgan,Wales,Wales,,"319,934","193,293",Caerphilly County Borough Council,14/0512/FULL,,,,,,29/07/2014,,,,,,,07/11/2014,,,,07/11/2019,01/01/2015,26/03/2015
C3320,2215,22/05/2017,Walters Group,Maesgwyn solar farm,Solar Photovoltaics,7.5,n/a,,,,n/a,n/a,n/a,,Operational,Operational,Land East of Maesgwyn Wind Farm Glynneath Neath,West Glamorgan,Wales,Wales,,"288,221","208,706",Neath Port Talbot County Borough Council,P2014/0762,,,,,,05/08/2014,,,,,,,28/05/2015,,,,28/05/2020,01/12/2016,15/02/2017
C3341,2235,17/07/2017,Marcol Afan Energy,Foel Fawr,Solar Photovoltaics,5.1,n/a,,,,n/a,n/a,n/a,,Appeal Granted,Awaiting Construction,LAND NORTH BRYNHEULOG CAERAU PARK MAESTEG BRIDGEND,Mid Glamorgan,Wales,Wales,,"285,648","195,107",Bridgend County Borough Council,P/14/543/FUL,APP/F6915/A/15/3133430,,,,,15/08/2014,,12/06/2015,24/11/2015,,,22/04/2016,22/04/2016,,,,,,
C3351,2243,22/12/2015,Lightsource Renewable Energy,Maes Bach Farm,Solar Photovoltaics,4.9,n/a,,,,n/a,n/a,n/a,,Operational,Operational,"Maes Bach, Willowford Road, Tonte, Pontypridd, Mid Glamorgan",Mid Glamorgan,Wales,Wales,CF38 1SL,"310,571","185,789",Rhondda Cynon Taff County Borough Council,14/1014/10,,,,,,31/07/2014,,,,,,,30/12/2014,,,,30/12/2019,16/09/2015,19/11/2015
C3363,2253,25/07/2016,Haymaker Energy,Kinmel 1 CIC,Solar Photovoltaics,5,n/a,,,,n/a,n/a,n/a,Ground,Operational,Operational,"Land immediately north of A547, Rhuddlan Road, Towyn, Conwy",Gwynedd,Wales,Wales,,"298,420","377,733",Conwy County Borough Council,0/40999,,,,,,27/08/2014,,,,,,,11/03/2015,,,,11/03/2020,21/03/2016,27/06/2016
IF1343,2286,19/08/2015,INRG Solar,Hendre Fawr Farm,Solar Photovoltaics,11.6,n/a,,,,n/a,n/a,n/a,,Operational,Operational,"Land at Hendrefawr Farm, Mount Road, Rhigos, Neath, West Glamorgan",West Glamorgan,Wales,Wales,CF44 9RJ,"290,227","205,890",Neath Port Talbot County Borough Council,P2013/0635,,,,,,18/09/2013,,,,,,,06/07/2014,,,,,15/11/2014,06/03/2015
C3045,2305,08/01/2015,Green Switch Developments,Bryn Cyrnau Isaf,Solar Photovoltaics,6,n/a,,,,n/a,n/a,n/a,,Planning Permission Refused,Application Refused,"LAND SOUTH OF, BRYN CYRNAU ISAF, CWMFFRWD, CARMARTHEN, SA31 2LS",Dyfed,Wales,Wales,,"242,800","217,100",Carmarthenshire County Council,W/30204,,,,,,23/05/2014,,19/12/2014,,,,,,,,,,,
C3110,2322,23/11/2014,Phoenix Capital R-Energy Ltd,Coal Pit Lane,Solar Photovoltaics,5.3,n/a,,,,n/a,n/a,n/a,,Planning Application Withdrawn,Application Withdrawn,"Land Between M4 And Channel View, Castleton, Cardiff",Gwent,Wales,Wales,,"324,689","183,126",Newport City Council,14/0531,,,,,,06/06/2014,13/10/2014,,,,,,,,,,,,
C3095,2325,03/07/2017,John Laing Environmental Assets (formerly Camborne Capital & Lightsource / Hive energy),Golden Hill,Solar Photovoltaics,6.2,n/a,1.4,,,n/a,n/a,n/a,,Operational,Operational,"Land East of Mylett's Hill, Golden Hill, Pembroke, Pembrokeshire",Dyfed,Wales,Wales,SA71 4,"199,087","202,465",Pembrokeshire County Council,14/0129/PA,,,,,,07/05/2014,,,,,,,10/09/2014,,,,,01/12/2014,31/03/2015
C3109,2326,19/06/2015,Wessex Solar Energy,Chapel Hill,Solar Photovoltaics,8,n/a,,,,n/a,n/a,n/a,,Operational,Operational,"Land east of Chapel Hill, Orielton, Pembroke, Dyfed",Dyfed,Wales,Wales,SA71 5HY,"196,092","197,842",Pembrokeshire County Council,14/0148/PA,,,,,,14/05/2014,,,,,,,29/07/2014,,,,,01/01/2015,27/03/2015
C2323,2327,26/05/2017,Lightsource Renewable Energy,Pen Rhiw Caradog,Solar Photovoltaics,4.7,n/a,,,,n/a,n/a,n/a,,Operational,Operational,"FARMHOUSE, PENRHIW CRADOC FARM, LLANWONNO ROAD, MOUNTAIN ASH, CF45 3UX",Mid Glamorgan,Wales,Wales,,"304,594","197,985",Rhondda Cynon Taff County Borough Council,13/0901/10,,,,,,03/09/2013,,,,,,,11/07/2016,,,,11/07/2019,07/11/2016,24/02/2017
C3111,2334,19/06/2015,Solar Park Developments,Gelliwern Isaf Farm,Solar Photovoltaics,6,n/a,,,,n/a,n/a,n/a,,Operational,Operational,Land to South of Gelliwern Isaf Felindre Swansea,West Glamorgan,Wales,Wales,SA5 7PJ,"262,382","202,019",City and County Council of Swansea,2014/0739,,,,,,21/05/2014,,,,,,,12/11/2014,,,,12/11/2019,01/01/2015,31/03/2015
C2659,2338,21/06/2016,Elgin Energy EsCo,Weycock Road,Solar Photovoltaics,7,n/a,,,,n/a,n/a,n/a,,Operational,Operational,"Land off Weycock Cross, Waycock Road, Barry, South Glamorgan",South Glamorgan,Wales,Wales,CF62 3AA,"309,173","169,565",Vale of Glamorgan Council,2014/00081/FUL,,,,,,22/01/2014,,,,,,,01/08/2014,,,,,26/11/2015,02/03/2016
B1028,2347,01/03/2017,Foresight Solar Fund,Shotwick Solar Farm,Solar Photovoltaics,45.7,n/a,,,,n/a,n/a,n/a,,Operational,Operational,"Weighbridge Road, Sealand, Deeside, Clwyd, CH5 2NN",Flintshire,Wales,Wales,CH5 2NN,"331,844","372,029",Flintshire County Council,51772,,,,,,21/02/2014,,,,,,,01/06/2015,,,,01/06/2017,15/11/2015,31/03/2016
C1959,2350,16/02/2017,Novus Solar Developments,Blaen Bowi Solar park,Solar Photovoltaics,8,n/a,,,,n/a,n/a,n/a,,Planning Permission Granted,Awaiting Construction,"Blaen Bowi, Capel Iwan, Newcastle Emlyn, Dyfed",Dyfed,Wales,Wales,SA38 9NG,"232,248","235,208",Carmarthenshire County Council,W/28837,,,,,,09/09/2013,,,,,,,14/05/2014,,,,,,
B0993,2353,16/04/2015,New Forest Energy Ltd,Bryn yr Odyn Solar Farm,Solar Photovoltaics,15,n/a,,,,n/a,n/a,n/a,,Operational,Operational,Bryn yr Odyn,Isle of Anglesey,Wales,Wales,,"239,600","373,400",Isle of Anglesey County Council,10C118A/RE,,,,,,08/09/2013,,,,,,,06/11/2013,,,,,06/11/2014,28/02/2015
B1316,2354,29/05/2015,Wessex Solar Energy,Rhyd-y-Pandy Solar Farm,Solar Photovoltaics,6,n/a,,,,n/a,n/a,n/a,,Operational,Operational,"Cefn Betingau Farm, Rhydypandy Road, Morriston, Swansea",West Glamorgan,Wales,Wales,SA6 6NX,"266,057","201,531",City and County Council of Swansea,2013/1639,,,,,,15/11/2013,,,,,,,20/02/2014,,,,,01/11/2014,06/03/2015
C1204,2355,11/08/2015,Anesco,Saron Road solar park,Solar Photovoltaics,6.7,n/a,,,,n/a,n/a,n/a,,Operational,Operational,"E/O Saron Road, N/O Dyffryn Road, Saron, Ammanford, Dyfed",Dyfed,Wales,Wales,SA18 3TW,"260,904","212,664",Carmarthenshire County Council,E/28054,,,,,,12/04/2013,,,,,,,19/09/2013,,,,,24/11/2014,15/02/2015
C1897,2359,10/05/2016,INRG Solar,West Hall Solar Farm,Solar Photovoltaics,7,n/a,,,,n/a,n/a,n/a,,Operational,Operational,"Land at West Hall Farm, Aberthaw, St. Athan",South Glamorgan,Wales,Wales,,"302,351","167,146",Vale of Glamorgan Council,2013/00724/FUL,,,,,,01/08/2013,,,,,,,17/01/2014,,,,,18/01/2014,31/03/2014
C2032,2363,19/03/2015,Brynteg Solar,Brynteg Farm,Solar Photovoltaics,16.2,n/a,,,,n/a,n/a,n/a,,Operational,Operational,"Land forming part of Brynteg farm adjacent to the B4309, five roads, Llanelli",Dyfed,Wales,Wales,SA15 4ND,"249,621","203,809",Carmarthenshire County Council,S/28898,,,,,,19/09/2013,,,,,,,11/03/2014,,,,,01/09/2014,22/12/2014
C2156,2365,05/02/2016,Sunsave 23 Limited/ Vogt solar  ,Yerbeston Gate Farm,Solar Photovoltaics,6.1,n/a,,,,n/a,n/a,n/a,,Operational,Operational,"Land north, west and south of Yerbeston Gate, Yerbeston, Kilgetty, SA68 0NS",Dyfed,Wales,Wales,SA68 0NS,"207,186","209,092",Pembrokeshire County Council,13/0501/PA,,,,,,02/09/2013,,,,,,,02/12/2013,,,,,25/09/2015,25/11/2015
C2455,2370,31/03/2015,Conergy UK,Hendai Farm,Solar Photovoltaics,13.4,n/a,,,,n/a,n/a,n/a,,Operational,Operational,Land At Hendai Farm Heol Adam Gelligaer Hengoed CF82 8FU,Mid Glamorgan,Wales,Wales,CF82 8FU,"311,830","198,070",Caerphilly County Borough Council,13/0846/FULL,,,,,,10/12/2013,,,,,,,10/04/2014,,,,,01/10/2014,01/03/2015
IF1129,2376,24/02/2015,,Cuckoo Grove Farm,Solar Photovoltaics,7.5,n/a,,,,n/a,n/a,n/a,,Operational,Operational,"Land to the North of Cuckoo Grove Farm, Cuckoo Lane, Haverfordwest, SA61 2UY",Dyfed,Wales,Wales,SA61 2UY,"192,777","216,646",Pembrokeshire County Council,12/0744/PA,,,,,,09/11/2012,,,,,,,25/04/2013,,,,,01/01/2015,26/03/2015
AA225,2381,16/09/2014,St. Modwen Developments,Baglan Bay Solar Farm - Phase 1,Solar Photovoltaics,5,n/a,,,,n/a,n/a,n/a,,Operational,Operational,"Baglan Energy Park, Port Talbot",West Glamorgan,Wales,Wales,,"273,414","191,650",Neath Port Talbot County Borough Council,P2011/0054,,,,,,01/02/2011,,,,,,,30/01/2013,,,,,,30/03/2014
